species_key,occurrence_count,scientific_name
2224230,7281,Pagurus samuelis
5178542,7218,Coenobita clypeatus
2221144,7207,Mysis relicta
2227605,7086,Pilumnus hirtellus
2223417,7051,Penaeus esculentus
5178380,7001,Callianassa subterranea
5178716,7000,Stenopus hispidus
2217337,6956,Corophium arenarium
2225698,6918,Emerita analoga
2214522,6870,Diastylis lucifera
5177998,6815,Leucothoe incisa
5178347,6756,Galathea squamifera
2227571,6728,Goneplax rhomboides
5178956,6727,Apseudes spinosus
2217533,6717,Vibilia antarctica
2219860,6653,Gammarus locusta
2221382,6634,Schistomysis kervillei
2217518,6617,Cyllopus lucasii
2222599,6596,Munida sarsi
9427945,6570,Liocarcinus pusillus
2221143,6540,Mysis mixta
2226070,6512,Athanas nitescens
4646380,6450,Paratya curvirostris
4312123,6388,Pagurus prideaux
2217251,6374,Harpinia crenulata
2219044,6364,Unciola planipes
5177843,6304,Leptocheirus hirsutimanus
5716131,6274,Peltarion spinulosum
6463271,6266,Othomaera othonis
5970317,6258,Romaleon antennarium
2224219,6216,Pagurus hirsutiusculus
2219867,6194,Gammarus lacustris
2222980,6179,Upogebia deltaura
2217347,6176,Crassicorophium crassicorne
2205951,6161,Proasellus coxalis
5730548,6062,Xantho hydrophilus
2223416,6047,Penaeus semisulcatus
2204495,6013,Gnathia oxyuraea
2222168,5980,Crangon allmanni
2227663,5977,Rhithropanopeus harrisii
5178647,5977,Lucifer typus
2227289,5921,Procambarus acutus
2213191,5909,Natatolana borealis
4416980,5894,Gammarus fossarum
5177644,5874,Themisto abyssorum
2205012,5863,Platyarthrus hoffmannseggii
2215267,5855,Bodotria scorpioides
2216085,5848,Urothoe brevicornis
4307266,5795,Liocarcinus vernalis
5177125,5785,Janira maculosa
2222185,5771,Crangon septemspinosa
4309827,5757,Eualus cranchii
2218122,5731,Megamphopus cornutus
2221653,5718,Panulirus guttatus
2228299,5713,Tanaopsis graciloides
2228011,5698,Euphausia frigida
6284535,5679,Porcellio laevis
2216166,5652,Argissa hamatipes
2222274,5641,Pasiphaea pacifica
2225832,5633,Cardisoma guanhumi
5968755,5622,Eriphia verrucosa
2214623,5620,Diastyloides biplicatus
4311752,5615,Clibanarius erythropus
2225629,5580,Charybdis japonica
2216107,5560,Bathyporeia pelagica
2219898,5527,Cheirocratus sundevallii
2225609,5442,Ovalipes ocellatus
2218932,5437,Pontocrates altamarinus
2219581,5431,Megaluropus agilis
2222220,5424,Neocrangon communis
4416652,5400,Ligidium hypnorum
2216113,5398,Bathyporeia sarsi
5178699,5336,Stenorhynchus seticornis
2215986,5320,Abludomelita obtusata
2223788,5314,Metapenaeus endeavouri
5178706,5308,Inachus dorsettensis
2222882,5182,Neotrypaea californiensis
2215542,5144,Leucon nasica
5864277,5126,Gammarus roeselii
2222507,5119,Dichelopandalus leptocerus
2223453,5113,Rimapenaeus similis
2225699,5095,Emerita talpoida
2225783,5095,Percnon gibbesi
2227985,5078,Thysanoessa raschii
2222438,5024,Pandalina brevirostris
4312306,5016,Anapagurus hyndmanni
2225445,5005,Palaemon varians
5177720,4963,Nototropis swammerdamei
2211355,4943,Porcellionides pruinosus
2223719,4925,Penaeus indicus
5177835,4880,Synchelidium maculatum
2221793,4849,Ebalia tuberosa
5177421,4826,Iphinoe trispinosa
5717160,4821,Autonoe longipes
2222275,4800,Pasiphaea multidentata
2218933,4760,Pontocrates arenarius
2219541,4749,Haploops setosa
5177642,4719,Themisto pacifica
2222279,4684,Pasiphaea sivado
4382864,4639,Grapsus adscensionis
5716740,4618,Coenobita compressus
2224366,4616,Phyllolithodes papillosus
9596149,4604,Leptuca pugilator
4646375,4552,Paratya australiensis
6456774,4541,Cuapetes americanus
9081142,4512,Palaemon pugio
5178604,4453,Leptograpsus variegatus
2214621,4449,Diastyloides serratus
4310287,4435,Processa modica
2224225,4408,Pagurus pubescens
2216398,4399,Apherusa bispinosa
2222128,4383,Pontophilus norvegicus
5177724,4379,Nicippe tumida
5717193,4366,Nototropis falcatus
4307250,4338,Liocarcinus marmoreus
2208095,4333,Androniscus dentiger
2222236,4328,Philocheras bispinosus
7489712,4310,Haploops tubicola
5178007,4290,Leucothoe lilljeborgi
5177640,4275,Themisto libellula
2222070,4264,Atelecyclus rotundatus
5970883,4263,Guinusia chabrus
2224765,4226,Macrobrachium acanthurus
2223409,4218,Solenocera membranacea
2226328,4215,Lebbeus polaris
2221798,4186,Ebalia tumefacta
5863761,4174,Metacarcinus gracilis
2227978,4149,Meganyctiphanes norvegica
2225620,4127,Macropipus tuberculatus
2225821,4107,Grapsus tenuicrustatus
2218501,4095,Acidostoma obesum
9706799,4043,Centraloecetes kroyeranus
2218020,4027,Microprotopus maculatus
4313345,4021,Apseudopsis latreillii
9427467,4018,Maguimithrax spinosissimus
4315705,4016,Dikerogammarus villosus
2218114,4008,Gammaropsis maculata
2217301,4007,Metaphoxus fultoni
2208212,4002,Haplophthalmus danicus
2222234,3964,Philocheras trispinosus
5970328,3928,Glebocarcinus oregonensis
2216114,3923,Bathyporeia tenuipes
4315703,3917,Dikerogammarus haemobaphes
4382444,3916,Ocypode ceratophthalmus
2220347,3875,Limnomysis benedeni
2227680,3826,Lophopanopeus bellus
8406925,3824,Penaeus monodon
2224248,3816,Pagurus granosimanus
9524640,3810,Inachus phalangium
2221512,3800,Nebalia bipes
4307454,3774,Ovalipes trimaculatus
8879892,3771,Faxonius propinquus
2215953,3743,Melita palmata
2217144,3742,Paraphoxus oculatus
5178773,3739,Xantho pilipes
2226362,3736,Latreutes parvulus
2214435,3660,Diastylis laevis
2228007,3616,Euphausia crystallorophias
2224217,3615,Pagurus cuanensis
5178602,3613,Aratus pisonii
2228021,3604,Euphausia triacantha
5176253,3598,Idotea granulosa
2207643,3571,Ischnomesus bispinosus
4644439,3565,Nectocarcinus integrifrons
5178695,3563,Macropodia tenuirostris
6463339,3541,Byblis gaimardii
2225554,3535,Arenaeus cribrarius
2228012,3518,Euphausia vallentini
2204885,3462,Pentidotea wosnesenskii
5177845,3460,Leptocheirus pilosus
2199909,3424,Ilyarachna longicornis
4314702,3421,Monocorophium sextonae
2221879,3404,Calocaris macandreae
2224704,3404,Macrobrachium ohione
