species_key,occurrence_count,scientific_name
9799308,8716,Lampropeltis getula
2455615,8693,Pantherophis guttatus
2447244,8653,Coleonyx variegatus
2447506,8557,Phelsuma laticauda
9342283,8534,Thamnophis marcianus
2451726,8478,Xantusia vigilis
5789628,8461,Plestiodon laticeps
8682680,8450,Gallotia galloti
2457512,8436,Thamnophis radix
2459612,8302,Ctenosaura pectinata
8982716,8300,Strophurus ciliaris
5222442,8280,Phrynosoma platyrhinos
8613410,8270,Gambelia wislizenii
2463730,8196,Morethia obscura
5227370,8157,Salvator merianae
7566793,8147,Sceloporus cowlesi
2444360,8132,Crotalus cerastes
2441341,8126,Crocodylus niloticus
2441757,8063,Stigmochelys pardalis
2472403,8055,Aspidoscelis hyperythrus
2456330,7923,Rhinocheilus lecontei
2441974,7840,Chelodina oblonga
9195555,7827,Kinosternon subrubrum
2444480,7579,Crotalus scutulatus
2446718,7541,Lygodactylus capensis
2462156,7533,Pseudemoia entrecasteauxii
2463461,7529,Emoia caeruleocauda
2472455,7528,Aspidoscelis uniparens
2447563,7503,Underwoodisaurus milii
2469126,7490,Podarcis tiliguerta
8376055,7489,Cryptoblepharus pulcher
2463115,7448,Egernia striolata
2463647,7423,Hemiergis peronii
2462338,7271,Ctenotus spaldingi
5220285,7267,Chersina angulata
5226039,7239,Ctenophorus isolepis
5220796,7154,Bothrops asper
9415528,7101,Holcosus undulatus
9357542,7096,Indotyphlops braminus
2469702,7085,Ophisops elegans
5223325,7070,Nerodia taxispilota
2451416,7049,Sceloporus merriami
2472457,7028,Aspidoscelis exsanguis
5224858,7023,Tropidurus torquatus
2470656,7021,Varanus niloticus
2446568,6971,Rhynchoedura ornata
5223735,6951,Arizona elegans
2461013,6938,Saproscincus mustelinus
5224602,6875,Amblyrhynchus cristatus
2451188,6857,Sceloporus torquatus
2446214,6851,Gehyra dubia
2451532,6850,Urosaurus nigricauda
2442165,6830,Lepidochelys kempii
2457562,6788,Thamnophis cyrtopsis
2472280,6768,Aspidoscelis deppii
2451342,6766,Sceloporus orcutti
2449051,6761,Chamaeleo chamaeleon
2464655,6616,Lerista bougainvillii
2449077,6593,Chamaeleo dilepis
9601519,6427,Pseudemys rubriventris
2442173,6426,Natator depressus
2472370,6408,Aspidoscelis sonorae
2444393,6385,Crotalus ruber
