species_key,occurrence_count,scientific_name
12008655,27188,Candolleomyces candolleanus
4911751,27088,Mycena epipterygia
5251371,27083,Trichoderma pubescens
2551968,27016,Heterobasidion annosum
2533692,27009,Gymnopilus penetrans
2512925,26901,Dacrymyces stillatus
3345400,26884,Gliophorus psittacinus
3321205,26742,Rhodocollybia maculata
11076360,26716,Diarthonis spadicea
5465199,26665,Lenzites betulinus
5248616,26655,Lactarius quietus
2592659,26343,Arthonia radiata
7246650,26312,Cladonia squamosa
7759981,26203,Carbonicola anthracophila
7248528,26113,Lecanora polytropa
7247033,25824,Tephromela atra
5251355,25781,Trichoderma spirale
7693097,25767,Tapinella atrotomentosa
2551479,25751,Russula decolorans
2548374,25737,Trametes ochracea
5239864,25592,Suillus grevillei
2607131,25355,Lecidella stigmatea
8118872,25328,Galerina marginata
7442237,25190,Xanthoporia radiata
10956142,25144,Diploicia canescens
2554367,25028,Geastrum triplex
5248532,24908,Hericium coralloides
7246697,24871,Cladonia rangiformis
2606023,24765,Usnea subfloridana
8961574,24717,Amanita pantherina
12092733,24706,Collybiopsis peronata
2608115,24641,Ramalina fastigiata
2529415,24471,Cortinarius caperatus
2605403,24259,Letharia vulpina
2605814,24182,Parmeliopsis ambigua
2538445,24160,Hygrocybe coccinea
11011338,24154,Sarcomyxa serotina
8114182,23824,Xanthoria calcicola
2521089,23763,Inonotus obliquus
2607590,23691,Cladonia foliacea
2529040,23680,Cortinarius violaceus
2606463,23652,Hypogymnia bitteri
8879395,23492,Daedalea quercina
7623986,23466,Suillus bovinus
5256859,23460,Calycina citrina
5249297,23452,Auricularia mesenterica
7246716,23275,Cladonia macilenta
10828425,23149,Bovistella utriformis
5249353,23136,Pseudohydnum gelatinosum
2520773,23097,Phellinus tremulae
5249883,23020,Clavulina coralloides
2598011,23008,Penicillium quercetorum
9690034,23004,Neoantrodia serialis
7547658,22989,Sidera lenis
7700437,22952,Umbelopsis changbaiensis
2531146,22858,Infundibulicybe gibba
2601162,22770,Peltigera praetextata
6755116,22697,Circinaria contorta
9156243,22583,Chalciporus piperatus
2522210,22572,Hydnellum peckii
2577646,22551,Leotia lubrica
3392646,22504,Lepraria lobificans
2608929,22452,Physcia aipolia
8104050,22353,Variospora flavescens
5261338,22352,Sphaerophorus globosus
5254672,22319,Hypoxylon fragiforme
7978027,22295,Paralepista flaccida
2534205,22267,Pholiota squarrosa
8897119,22260,Tricholoma sulphureum
10825597,22213,Fomitopsis mounceae
8190524,22190,Polycauliona polycarpa
8122710,22180,Lactarius torminosus
2542912,22072,Cyanosporus caesius
5238865,21750,Sarcodon imbricatus
2538630,21734,Hygrocybe chlorophana
11074143,21677,Candelariella aurella
7741746,21603,Dendrographa decolorans
2551415,21584,Russula vesca
5258678,21569,Aleuria aurantia
