species_key,occurrence_count,scientific_name
2261670,2421,Isidella lofotensis
5184556,2400,Turbinaria reniformis
11558519,2393,Callistephanus kofoidi
4339208,2352,Entacmaea quadricolor
4283460,2313,Bunodactis verrucosa
5184913,2308,Eunicea calyculata
5184765,2303,Porites cylindrica
2261717,2288,Acanella arbuscula
2258172,2275,Leiopathes glaberrima
2264082,2268,Leptogorgia sarmentosa
5720726,2267,Alcyonium coralloides
5184692,2247,Acropora cerealis
11727157,2224,Meandrina danai
5184207,2219,Lebrunia neglecta
2260627,2195,Fungia fungites
7469713,2183,Actinia mediterranea
8204274,2178,Astrea curta
2260527,2154,Pavona gigantea
5184758,2151,Porites lutea
2258713,2149,Ptilosarcus gurneyi
2257134,2135,Phymanthus crucifer
5184694,2133,Acropora tenuis
2259883,2119,Acropora digitifera
2260100,2107,Diploastrea heliopora
2256653,2103,Oulactis muscosa
8532028,2099,Lophophyllidium plummeri
10638056,2066,Exaiptasia diaphana
2260147,2064,Goniastrea pectinata
2256805,2057,Cribrinopsis crassa
2257820,2053,Sagartia undata
2259173,2033,Caryophyllia inornata
4339145,2029,Urticina eques
5184733,1970,Platygyra daedalea
2259481,1965,Madracis carmabi
2260685,1958,Ricordea florida
2260080,1957,Favites abdita
7604452,1954,Dipsastraea pallida
8497742,1935,Radianthus magnifica
2258611,1926,Pachycerianthus borealis
5184781,1910,Porites lichen
5184547,1902,Turbinaria mesenterina
2260163,1896,Cyphastrea serailia
2256086,1883,Paraedwardsia arenaria
5184668,1875,Acropora divaricata
2260114,1872,Plesiastrea versipora
8221577,1847,Actinauge abyssorum
2261724,1836,Acanella weberi
5184619,1834,Acropora loripes
5184654,1806,Acropora gemmifera
2259471,1800,Seriatopora hystrix
2261625,1798,Keratoisis grayi
5184592,1798,Acropora cytherea
5184677,1798,Acropora florida
2259533,1788,Hydnophora exesa
2260647,1787,Herpolitha limax
2260687,1783,Corynactis californica
5184673,1776,Acropora latistella
2256258,1765,Stomphia coccinea
9433033,1765,Radicipes stonei
5784820,1764,Isopora palifera
2258098,1758,Elatopathes abietina
2259876,1752,Acropora austera
5184724,1752,Echinopora lamellosa
9599176,1745,Victorgorgia alba
2260321,1742,Mussismilia braziliensis
5711858,1685,Palythoa grandis
7823330,1678,Eunicea flexuosa
7924491,1675,Dipsastraea favus
2257866,1664,Anthothoe albocincta
5184283,1664,Amphianthus bathybium
9245790,1662,Urticina clandestina
2261367,1647,Plexaura homomalla
5184587,1637,Acropora secale
7971188,1624,Antillogorgia acerosa
11137245,1595,Duncanopsammia peltata
2259665,1577,Balanophyllia elegans
5184621,1553,Acropora aculeus
2264062,1546,Pterogorgia guadalupensis
5184713,1533,Leptoria phrygia
2256282,1531,Actinostola callosa
7721036,1514,Halcampa chrysanthellum
5184682,1499,Acropora microphthalma
9246435,1498,Cyathaxonia profunda
2260082,1493,Favites pentagona
2261355,1488,Swiftia exserta
2260964,1483,Muricea elongata
2259989,1481,Montipora aequituberculata
2260496,1479,Pachyseris speciosa
2256918,1468,Phlyctenactis tuberculosa
5841862,1461,Cerianthus membranaceus
2260924,1453,Plexaurella nutans
5184813,1448,Leptoseris mycetoseroides
9888783,1439,Stichopathes luetkeni
2259015,1432,Goniocorella dumosa
9809158,1419,Pleurocorallium secundum
5183968,1418,Metridium farcimen
2260326,1412,Lobophyllia hemprichii
2259412,1410,Astrangia poculata
5185155,1405,Alcyonium acaule
2258647,1388,Calibelemnon symmetricum
5184590,1381,Acropora elseyi
2260149,1379,Goniastrea retiformis
7962921,1379,Antillogorgia americana
4283458,1378,Aulactinia veratra
2259273,1375,Plerogyra sinuosa
7933864,1355,Oculina varicosa
7467787,1352,Antillogorgia bipinnata
5184918,1351,Eunicea tourneforti
4283812,1347,Carijoa riisei
8259213,1339,Lobactis scutaria
5184685,1337,Acropora solitaryensis
10488693,1329,Pleurocorallium porcellanum
2261224,1326,Muriceopsis flavida
2259537,1325,Merulina ampliata
2258052,1320,Epizoanthus papillosus
7878327,1320,Paragoniastrea australensis
5184901,1294,Eunicea mammosa
2258042,1282,Isozoanthus sulcatus
2263221,1267,Pseudodrifa nigra
5184896,1260,Eunicea succinea
2260946,1254,Muricea muricata
2258877,1224,Stylatula elegans
5720714,1220,Palythoa tuberculosa
2260543,1218,Pavona decussata
2263011,1218,Iridogorgia bella
5184961,1215,Pseudoplexaura flagellosa
2259193,1214,Caryophyllia ambrosia
2259513,1206,Echinophyllia aspera
5184622,1195,Acropora intermedia
4283488,1191,Anthopleura ballii
4339291,1191,Liponema brevicorne
5184708,1183,Acropora selago
2259528,1182,Mycedium elephantotus
2261669,1182,Isidella trichotoma
9353328,1182,Swiftia torreyi
2260950,1178,Muricea atlantica
5184729,1177,Platygyra pini
11175457,1168,Plexaura kuekenthali
2261228,1164,Hypnogorgia pendula
5185040,1160,Parastenella ramosa
8400775,1157,Dipsastraea speciosa
5184532,1138,Oxypora lacera
5184795,1130,Porites panamensis
2258605,1117,Pachycerianthus solitarius
5711922,1117,Acropora abrotanoides
2258903,1114,Psammocora profundacella
5184596,1114,Acropora lutkeni
5184565,1099,Astreopora myriophthalma
5184732,1085,Platygyra lamellina
2259824,1059,Acropora samoensis
5184684,1059,Acropora aspera
8580568,1059,Lophophyllidium wewokanum
5819180,1049,Palythoa mutuki
5184731,1048,Platygyra sinensis
7514839,1045,Coelastrea aspera
2260526,1028,Pavona duerdeni
2260161,1024,Cyphastrea microphthalma
2259947,1013,Montipora foveolata
2260019,1012,Fungiacyathus marenzelleri
2261897,1012,Calyptrophora wyvillei
5184629,1010,Acropora longicyathus
2260178,1008,Oulophyllia crispa
5184602,1006,Acropora pulchra
2260087,994,Favites flexuosa
5184611,992,Acropora sarmentosa
7812410,983,Stichodactyla haddoni
5185380,980,Gorgonia mariae
10135581,971,Englandactis commensalis
2261730,970,Isis hippuris
8288095,965,Psammocora columna
2255878,962,Iosactis vagabunda
2260264,957,Flabellum alabastrum
4283692,957,Meandrina brasiliensis
2260136,955,Favia gravida
7888196,954,Dipsastraea matthaii
5184612,953,Acropora grandis
5184962,953,Pseudoplexaura wagenaari
7014536,945,Fimbriaphyllia ancora
2262476,942,Anthomastus tahinodus
